mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.08414347966512044,0.005169993655924031,0.040457725524902344,0.0012177813445608224,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.3773804054054061,-0.38927891891891836,-0.38088108108108104,-0.3825134684684685,0.004992806318073004,23,-0.15180445945946128,-0.1341427027027037,-0.1308079279279282,-0.13891836336336438,0.009212990290815909
0.1815489133199056,0.004723541309040311,0.056089560190836586,0.0051614368633260315,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.3760392567567543,-0.3857247297297306,-0.37808554054053956,-0.3799498423423415,0.004168038114326289,14,-0.15083506756757023,-0.13097918918919146,-0.12930630630630632,-0.13704018768768933,0.009778332082048195
0.35373910268147785,0.02928280873660995,0.07139015197753906,0.010729376397831412,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.37778999999999624,-0.38102594594594735,-0.378389358108108,-0.3790684346846838,0.0014056304134728716,10,-0.14773168918919077,-0.12894682432432675,-0.12836373873873894,-0.13501408408408547,0.008995854856805999
0.13133502006530762,0.023684004018938377,0.04499650001525879,0.0058296614342519286,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.4063013236024492,-0.3732297738491634,-0.35805456450643897,-0.37919522065268385,0.020143276090569043,11,-0.2579473280405786,-0.2080486863181865,-0.2058724831237329,-0.22395616582749933,0.024051795449720442
0.2107551097869873,0.010746799472383715,0.03770709037780762,0.002183240010108763,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.39230637836956583,-0.36894522102872856,-0.35678324254330523,-0.37267828064719993,0.01474053584098479,2,-0.25188278082578214,-0.2086943801742549,-0.2054224231279222,-0.2219998613759864,0.02117259363517684
0.34449346860249835,0.00636646104053037,0.08516685167948405,0.01033954376736304,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.39222127638437143,-0.3691877432463095,-0.3598648707103707,-0.37375796344701717,0.013599005638828751,4,-0.2512447381138951,-0.2083369319382283,-0.20333980478424285,-0.2209738249454554,0.021501766717903055
0.09474317232767741,0.004149524981482752,0.04145034154256185,0.0071862188047458085,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4197818692893494,-0.37984637339231286,-0.3556416692511446,-0.385089970644269,0.02644633307084082,26,-0.3038894474254986,-0.25516224704284995,-0.2481641947382444,-0.26907196306886433,0.024784889169382412
0.17874797185262045,0.017118438906575908,0.04680752754211426,0.0014127125628785836,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.4086952789284043,-0.3792837852917841,-0.35445986729522044,-0.38081297717180296,0.022167901563742414,19,-0.29789578497576025,-0.25369161664777157,-0.24689662147618258,-0.26616134103323813,0.022610457596744748
0.35288651784261066,0.017384404286929576,0.07719882329305013,0.0028370927036454907,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.40566874379511086,-0.3818757964577754,-0.3562882263878057,-0.38127758888023067,0.020163949085478694,21,-0.29790531994993297,-0.25395124864031665,-0.24473014863528716,-0.2655289057418456,0.023201024676450823
0.11700828870137532,0.002062566999136406,0.042560180028279625,0.005090672745787067,8,1,50,"{'max_depth': 8, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.3774770020757656,-0.3877340588848338,-0.3767124984465109,-0.3806411864690367,0.005025119950798307,16,-0.16139479809950652,-0.1627396373969842,-0.17116895956890113,-0.16510113168846394,0.004325586632582774
